expression,sentence,label,label_2,,,,,,,
שבר את הראש,הוא שבר את הראש במשך ימים בניסיון להבין איך לתקן את הבעיה בחשבון הבנק.,פיגורטיבי,1,,,,,,,
שבר את הראש,שברתי את הראש על ניסוח נכון למייל הרגיש הזה.,פיגורטיבי,1,,,,,,,
שבר את הראש,היא שברה את הראש למצוא רעיון יצירתי למתנת יום ההולדת שלו.,פיגורטיבי,1,,,,,,,
שבר את הראש,הצוות כולו שבר את הראש על איך לעמוד בדדליין.,פיגורטיבי,1,,,,,,,
שבר את הראש,שברתי את הראש להבין מה היא בעצם מנסה לומר לי.,פיגורטיבי,1,,,,,,,
שבר את הראש,המהנדס שבר את הראש בניסיון לפתור את התקלה המורכבת.,פיגורטיבי,1,,,,,,,
שבר את הראש,הם שברו את הראש איך להסביר את זה לילדים בלי להפחיד אותם.,פיגורטיבי,1,,,,,,,
שבר את הראש,אני שובר את הראש כל פעם מחדש עם הטפסים האלה.,פיגורטיבי,1,,,,,,,
שבר את הראש,הוא שבר את הראש כל הלילה בשביל להגיש בזמן את העבודת גמר.,פיגורטיבי,1,,,,,,,
שבר את הראש,היא שברה את הראש כדי להבין את חוקי הפורמט החדש של התחרות שחייה.,פיגורטיבי,1,,,,,,,
שבר את הראש,שברתי את הראש איך לשכנע אותה לבוא לחתונה.,פיגורטיבי,1,,,,,,,
שבר את הראש,הוא שבר את הראש כדי להצליח לבחור שם מקורי לסטארט־אפ.,פיגורטיבי,1,,,,,,,
שבר את הראש,היא שברה את הראש על תכנון מסלול הטיול ליפן.,פיגורטיבי,1,,,,,,,
שבר את הראש,שברתי את הראש להבין למה המודל לא מתכנס כמו שצריך לתוצאות שציפיתי להם.,פיגורטיבי,1,,,,,,,
שבר את הראש,הם שברו את הראש לכתוב הזמנה מקורית לבר־מצווה.,פיגורטיבי,1,,,,,,,
שבר את הראש,הילד שבר את הראש כשהתנגש בעמוד בפארק.,מילולי,0,,,,,,,
שבר את הראש,הפועל שבר את הראש כשנפל מהפיגום בבנייה.,מילולי,0,,,,,,,
שבר את הראש,איש הקש שבר את הראש מהרוח החזקה בשדה.,מילולי,0,,,,,,,
שבר את הראש,הוא החליק על הקרח ברחוב ושבר את הראש באבן.,מילולי,0,,,,,,,
שבר את הראש,"במהלך הסקי בהרי האלפים, הגולש שבר את הראש ונלקח במסוק.",מילולי,0,,,,,,,
שבר את הראש,הילד נפל מסולם גבוה ושבר את הראש בצורה חמורה.,מילולי,0,,,,,,,
שבר את הראש,הוא שבר את הראש כשהחליק על הרצפה הרטובה במטבח.,מילולי,0,,,,,,,
שבר את הראש,האופנוען התנגש בקיר ושבר את הראש באורח קשה.,מילולי,0,,,,,,,
שבר את הראש,היא שברה את הראש אחרי נפילה לא צפויה במדרגות.,מילולי,0,,,,,,,
שבר את הראש,הילד הקטן שבר את הראש בזמן משחק בגינה הציבורית אחרי נפילה מהמגלשה.,מילולי,0,,,,,,,
שבר את הראש,"הרופא אמר שהפגיעה חזקה, החולה ממש שבר את הראש באמצע.",מילולי,0,,,,,,,
שבר את הראש,היא נפלה לתוך שוחה פתוחה במהלך רכיבת אופניים ושברה את הראש על הבטון.,מילולי,0,,,,,,,
שבר את הראש,הבחור קיבל מכה מהכדור בזמן משחק כדורגל ושבר את הראש.,מילולי,0,,,,,,,
שבר את הראש,הוא שבר את הראש לאחר התנגשות חזיתית בתאונה בין 2 אופנוע למכונית.,מילולי,0,,,,,,,
שבר את הראש,הילד שבר את הראש בזמן קפיצה מנדנדה.,מילולי,0,,,,,,,
שיחק באש,הוא שיחק באש כששיתף מידע מסווג בלי רשות.,פיגורטיבי,1,,,,,,,
שיחק באש,היא שיחקה באש כשחזרה לדבר עם האקס כשהיא הבטיחה לבעלה שלא תעשה זאת,פיגורטיבי,1,,,,,,,
שיחק באש,אתה ממש משחק באש אם אתה ממשיך להסתיר אתהקשר הזוגי הזה מהמנהלת.,פיגורטיבי,1,,,,,,,
שיחק באש,שיחקתי באש כשנכנסתי לעסקה בלי לדעת את כל הפרטים.,פיגורטיבי,1,,,,,,,
שיחק באש,הוא שיחק באש כשהחליט לבגוד באמון של חברו הקרוב ולספר את הסוד שלו.,פיגורטיבי,1,,,,,,,
שיחק באש,שיחקה באש כשפתחה את הלפטופ של הבוס בלי לבקש.,פיגורטיבי,1,,,,,,,
שיחק באש,הם שיחקו באש כשהחליטו להפר את ההנחיות של הצוות הרפואי.,פיגורטיבי,1,,,,,,,
שיחק באש,האבא שיחק באש כשהחליט להשאיר את הילדים לבד עם נר דולק.,פיגורטיבי,1,,,,,,,
שיחק באש,את שיחקת באש עם המילים המטריסות שאמרת לה מול כולם.,פיגורטיבי,1,,,,,,,
שיחק באש,הוא שיחק באש בניסיון להריץ קוד לא בטוח על השרת הראשי.,פיגורטיבי,1,,,,,,,
שיחק באש,הוא שיחק באש כשהתחיל לרכל על הבוס מול כולם.,פיגורטיבי,1,,,,,,,
שיחק באש,היא שיחקה באש כשהתעלמה מהאזהרות של המורה.,פיגורטיבי,1,,,,,,,
שיחק באש,אתה משחק באש כשאתה מתחיל רומן במקום העבודה כשאתה נשוי.,פיגורטיבי,1,,,,,,,
שיחק באש,הם שיחקו באש כשגנבו רעיון לפרויקט מגורים מול חברה מתחרה.,פיגורטיבי,1,,,,,,,
שיחק באש,שיחקתי באש כשהעזתי לשנות את החוזה דירה מאחורי גבם של הבעלים.,פיגורטיבי,1,,,,,,,
שיחק באש,"הילד שיחק באש בחדרו, והווילון כמעט נדלק.",מילולי,0,,,,,,,
שיחק באש,היא שיחקה באש עם נר שבת והפילה אותו על הספרים באמצע החדר לימוד.,מילולי,0,,,,,,,
שיחק באש,הילד הדליק גפרור ושיחק באש ליד בקבוק דלק.,מילולי,0,,,,,,,
שיחק באש,"הוא שיחק באש בגינה, ונשרפו כמה ענפי עץ.",מילולי,0,,,,,,,
שיחק באש,הילדה שיחקה באש בחצר בזמן שאף מבוגר לא השגיח עליה.,מילולי,0,,,,,,,
שיחק באש,הילד שיחק באש בגינה וכמעט גרם לשריפה.,מילולי,0,,,,,,,
שיחק באש,היא שיחקה באש עם גפרורים ואחד נפל על שטיח.,מילולי,0,,,,,,,
שיחק באש,אסור לשחק באש ליד חומר דליק כמו נייר או שמן.,מילולי,0,,,,,,,
שיחק באש,הוא שיחק באש מתחת לעץ יבש  וזה היה מאוד מסוכן.,מילולי,0,,,,,,,
שיחק באש,שיחקנו באש במדורה ופתאום הרוח שינתה כיוון אלינו וזה היה מפחיד.,מילולי,0,,,,,,,
